Video_Id,Title,Published_date,Views,Likes,Favorite,Comments,Playlist_id,Inserted_date
ksCJliQBADI,நல்லிணக்கத்துடன் நடைபெற்ற சாதனைக் கொண்டாட்டம்,2024-07-29,193,4,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
LcryZe8RXck,சிங்கப்பூர் சாதனைப் புத்தகத்தில் ஆனந்த பவன் உணவகம்,2024-07-28,672,9,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
ia0SipABjDw,சமூகத்தின் குரல்: நினைவலைகளும் எதிர்பார்ப்புகளும்,2024-07-28,35,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
u41ASxo_0xg,"26 ஜூலை 2024, இன்றைய ஐந்து முக்கியச் செய்திகள்",2024-07-26,77,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
rwJcDJXm1XA,தொழில்நுட்பக் கல்விக் கழக மாணவர்களுக்கு உதவும் சிண்டா,2024-07-26,56,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
2GM-ETbIL_U,"25 ஜூலை 2024, இன்றைய ஐந்து முக்கியச் செய்திகள்",2024-07-25,39,1,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
GnBcLOVL_Zc,சிங்கப்பூரில் பயங்கரவாத அச்சுறுத்தல்  அதிகரித்துள்ளது: உள்நாட்டு பாதுகாப்பு துறை,2024-07-25,99,1,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
4GpHv8wEQ8k,"24 ஜூலை 2024, இன்றைய ஐந்து முக்கியச் செய்திகள்",2024-07-24,23,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
4a5YnpHBX1M,உலகிலேயே ஆக செல்வாக்குமிக்கது சிங்கப்பூர் கடப்பிதழ்,2024-07-24,230,2,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
Wbc7935YP7Q,"2024 ஜூலை 23, இன்றைய ஐந்து முக்கியச் செய்திகள்",2024-07-23,8,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
Ax1UG_Wq4NY,புதிய மருந்து மூலப்பொருள் ஆலை மூலம் ஃபைசர் $1 பில்லியன் முதலீடு,2024-07-23,8,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
HPaulQR_1bw,"ஜூலை 22, 2024, இன்றைய ஐந்து முக்கிய செய்திகள்",2024-07-22,9,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
BbgIWo_tp9s,அதிபர் தேர்தலிலிருந்து விலகினார் பைடன்,2024-07-22,475,8,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
_1PDQ7EsIW4,நற்பணி சமூகக் குதூகலம் 2024,2024-07-20,186,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
Ctn41XdFfo4,உபின் தின கொண்டாட்டம்,2024-07-19,32,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
KGQH84kx-NM,தகவல் தொழில்நுட்பச் செயலிழப்பால் சிங்கப்பூர் நிறுவனங்கள் பாதிப்பு,2024-07-19,166,2,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
aAXGBhFgXD4,மாதத்திற்கு $17.90 என்ற விலையில் அடங்கும் தமிழ் முரசின் சிறப்பு தொகுப்பை வாங்கினால் இந்த wok இலவசம்!,2024-07-19,32,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
uVhJW3Glk5s,வசதி குறைந்த 75 குடும்பங்களுக்கு நிபந்தனையின்றி நிதியுதவி,2024-07-18,124,1,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
gkbqyQqCrck,"ஜூலை 18, 2024, இன்றைய ஐந்து முக்கிய செய்திகள்.",2024-07-18,258,1,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
KveRb7aeBNQ,உண்ணி மேனன் இசை நிகழ்ச்சிக்கான சிறப்பு போட்டி!,2024-07-18,456,10,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
v7qGPazUEqo,ஆலயங்கள் ஒன்றுகூடி ஏற்றிய அன்னக்கொடி,2024-07-17,1961,17,0,1.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
VCR8fikHuTA,"ஜூலை 17 2024, இன்றைய ஐந்து முக்கிய செய்திகள்",2024-07-17,619,1,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
OtxzqD6S4LA,இந்தியாவில் துணிக்கடை ஒன்றில் இரண்டு காளை மாடுகள் ஒன்றோடு ஒன்று சண்டை,2024-07-17,17,0,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
yiI2aaiVQaI,"ஜூலை 15, 2024, இன்றைய ஐந்து முக்கிய செய்திகள். #marriage #family #radicalised #forum #euro2024",2024-07-15,159,1,0,0.0,UCs0xZ60FSNxFxHPVFFsXNTA,2024-09-05
